County,School,GradeTested,MathMetStandard,ReadingMetStandard,WritingMetStandard,ScienceMetStandard,MathTotalTested,ReadingTotalTested,WritingTotalTested,ScienceTotalTested,TotalEnrollment,PercentWhite,StudentsPerClassroomTeacher,FreeorReducedPricedMeals,AvgYearsEducationalExperience,PercentTeachersWithAtLeastMasterDegree
Ferry,Republic Senior High School,10,16,33,33,5,35,35,35,36,158,94.9367,13,44.3709,14.4,66.7
Franklin,Longfellow Elementary,5,19,28,NA,12,63,64,0,64,517,6.76983,17,88.2583,16.3,63.3
Franklin,Pasco Senior High School,10,198,398,393,128,600,611,626,588,2997,28.028,18,61.0299,12.5,64.3
Franklin,Emerson Elementary,5,9,22,NA,9,87,87,0,86,314,72.9299,18,63.6943,14.3,64.7
Franklin,Mark Twain Elementary,5,34,54,NA,21,100,101,0,100,617,22.0421,17,68.8633,14.1,61.1
Franklin,Edwin Markham Elementary,5,31,39,NA,21,52,52,0,52,298,60.4027,16,42.5993,13.7,63.2
Franklin,Robert Frost Elementary,5,10,34,NA,6,74,74,0,74,514,22.9572,17,81.5029,12.4,66.7
Franklin,New Horizons High School,10,1,22,16,0,32,38,36,22,179,22.905,12,70.3947,11.8,53.3
Franklin,Ruth Livingston Elementary,5,69,89,NA,56,115,117,0,121,526,53.9924,16,41.4365,14.1,66.7
Franklin,James McGee Elementary,5,42,67,NA,31,85,86,0,89,528,60.0379,21,32.2993,10.5,68
Franklin,Whittier Elementary,5,23,51,NA,17,99,101,0,99,382,79.5812,17,36.87,17.2,40.9
Franklin,Rowena Chess Elementary,5,20,35,NA,5,88,88,0,88,615,5.85366,18,89.9225,9,68.6
Franklin,Connell Elem,5,24,36,NA,14,64,63,0,65,512,37.5,18,66.7335,12.6,34.5
Franklin,Mesa Elem,5,11,19,NA,8,28,28,0,27,170,52.9412,12,62.7119,10.7,71.4
Franklin,Connell High School,10,61,86,80,24,108,106,109,96,521,40.1152,15,60.5523,13.1,65.7
Franklin,Basin City Elem,5,14,25,NA,6,34,34,0,33,377,21.4854,18,82.6203,11.7,61.9
Franklin,Kahlotus Elem & High,10,2,8,6,2,11,11,11,11,83,87.9518,6,49.3151,12.8,53.8
